genre_francais
Platane
Lilas
Platane
Platane
Platane
Erable
Platane
Erable
Platane
Magnolia
Fevier
Platane
Marronnier
Erable
Paulownia
Marronnier
Marronnier
Erable
Platane
Pin
Chene
Tilleul
Cytise
Aulne
Erable
Erable
If
Platane
Marronnier
Marronnier
Marronnier
Marronnier
Pin
Bouleau
Erable
Cerisier
Cerisier
Marronnier
Chene
Platane
Erable
Platane
Fevier
If
If
Marronnier
Bouleau
Tulipier
Platane
Marronnier
Marronnier
Bouleau
Marronnier
Platane
Platane
Tilleul
Charme
Cerisier
Prunus
Platane
If
Platane
Micocoulier
Platane
Tilleul
Erable
Tilleul
Marronnier
Platane
Platane
Platane
Epicea
Erable
Orme
Robinier
Platane
Platane
Platane
Fevier
Cerisier
Platane
Cerisier
Platane
Erable
Lilas
If
Tilleul
Noisetier
Pin
Frene
Orme
Prunier
Hetre
Marronnier
Tilleul
Peuplier
Erable
Marronnier
Erable
Chicot
Tilleul
Tamaris
Ginkgo
Poirier
Poirier
Tilleul
Erable
Erable
Marronnier
Frene
Murier
Tilleul
Platane
Tilleul
Orme
Olivier
Charme
Marronnier
Tilleul
Tilleul
Peuplier
Tilleul
Platane
Clerodendron
Platane
Platane
Marronnier
Cerisier
Erable
Murier
Chene
Cerisier
Platane
Platane
Ailante
Chene
Poirier
Erable
Marronnier
Magnolia
Prunus
Ailante
Charme
Charme_houblon
Cerisier
Arbre_a_soie
Platane
Noisetier
Micocoulier
Pin
Erable
Cypres
Cerisier
Platane
Platane
Chene
Frene
Noisetier
Pin
Arbre_de_judee
Platane
Marronnier
Cerisier
Platane
Prunier
Tulipier
Tilleul
Erable
Prunus
Erable
Tilleul
Platane
Magnolia
Chene
Noisetier
Marronnier
Tilleul
Poirier
Cerisier
Platane
Erable
Platane
Platane
Platane
Platane
Erable
Tilleul
Chene
Faux_cypres
Platane
Marronnier
Platane
Chene
Erable
Tulipier
Platane
Platane
Tilleul
Marronnier
Chene
Cerisier
Cerisier
Charme_houblon
Platane
Tilleul
Platane
Chicot
Noisetier
Platane
Prunier
Platane
Platane
Marronnier
Tilleul
Tilleul
Marronnier
Robinier
Tilleul
Pin
If
Troene
Erable
Fremontia
Tilleul
Micocoulier
Tilleul
Catalpa
Noisetier
Marronnier
Tilleul
Poirier
Pin
Amelanchier
Lilas
Platane
Erable
Thuya
Tilleul
Erable
Tilleul
Platane
Platane
Platane
Pommier
Charme
Marronnier
Platane
Platane
Tilleul
Bouleau
Frene
Ginkgo
Orme
Platane
Platane
Marronnier
Marronnier
Tilleul
Pin
Micocoulier
Aubepine
Platane
Platane
Frene
Platane
Frene
Tulipier
Poirier
Marronnier
Platane
Cedrele
Platane
Poirier
If
Cornouiller
Faux_cypres
Faux_cypres
Platane
Marronnier
Micocoulier
Lilas
Erable
Poirier
Tilleul
Platane
Marronnier
Micocoulier
Tilleul
Poirier
Erable
Pommier
Frene
Erable
Chene
Metasequoia
Tilleul
Platane
Platane
Tilleul
Pommier
Erable
Erable
Copalme
Platane
Tilleul
Erable
Fevier
Aulne
Poirier
Platane
Platane
Robinier
Orme
Peuplier
Aulne
Marronnier
Noisetier
Merisier
Micocoulier
Platane
Micocoulier
Frene_a_fleurs
Marronnier
Tilleul
Tilleul
Cerisier
Tilleul
Cerisier
Orme
Marronnier
Platane
Tilleul
Platane
Bouleau
Aulne
Erable
Tilleul
Merisier
Erable
Micocoulier
Platane
Chene
Noyer
Pin
Frene_a_fleurs
Erable
Micocoulier
Erable
Robinier
Tilleul
Erable
Copalme
Pin
Erable
Chene
Erable
Frene
Poirier
If
Tilleul
Platane
Parrotie_de_perse
Poirier
Platane
Platane
Cornouiller
Houx
Tilleul
Platane
Tilleul
Platane
Erable
Erable
Murier
If
Aubepine
Troene
Platane
Frene
Erable
Erable
Tilleul
Platane
Marronnier
Charme
Frene
Tilleul
Aubepine
Platane
Marronnier
Marronnier
Platane
Tilleul
Pin
Platane
Platane
Tilleul
Laurier
Marronnier
Erable
Marronnier
Erable
Platane
Pommier
Pommier
Copalme
Platane
Marronnier
Sequoia
Platane
Chene
Micocoulier
Marronnier
Marronnier
Noyer
Orme
Marronnier
Pin
Noisetier
Cerisier
Marronnier
Paulownia
Marronnier
Erable
Bouleau
Platane
Erable
Platane
Platane
Platane
Platane
Tilleul
Tilleul
Pin
Platane
Chene
Cedre
Platane
Sequoia
Tilleul
Charme
Pommier
If
Poirier
Platane
Marronnier
If
Tilleul
Hetre
Arbre_de_judee
Erable
Marronnier
Tilleul
Platane
Frene
Pommier
Poirier
Platane
Poirier
Tilleul
Marronnier
Merisier
Frene
Tilleul
Tilleul
Marronnier
Tilleul
Marronnier
Pommier
Marronnier
Platane
Cedrele
Lilas_de_perse
Platane
Erable
Marronnier
Tilleul
Tilleul
Palmier
Marronnier
Platane
Tilleul
Marronnier
Marronnier
Cerisier
If
Platane
Cerisier
